ID	RA	e_RA	DEC	e_DEC	Sint	e_Sint	Spk	e_Spk	MAJAX	e_MAJAX	MINAX	e_MINAX	PA	e_PA	Island_RMS	S_Code	Mosaic_Name
J104713.9+530244	161.8082	2.1	53.04575	2.1	98.1	10.4	59.0	6.3	36.9	1.5	28.2	1.0	42.7	8.2	2.1	S	R33D65
J104542.4+525112	161.4269	2.0	52.85359	2.0	1568.4	156.9	1146.5	114.7	32.0	0.1	26.1	0.0	-11.3	0.4	2.0	M	R33D65
J104543.1+525020	161.42966	2.0	52.83896	2.0	298.0	30.1	136.8	13.8	40.9	0.7	33.4	0.5	-55.1	3.7	2.0	M	R33D65
J104427.7+530211	161.11581	3.0	53.03658	3.7	38.1	4.7	14.7	2.5	52.4	8.3	30.9	3.7	-31.3	15.6	1.9	S	R33D65
J104527.9+524941	161.36646	2.0	52.8281	2.0	156.8	16.0	144.8	14.6	26.5	0.4	25.5	0.3	-1.9	16.3	2.0	S	R33D65
J105939.6+525814	164.91531	2.0	52.97073	2.0	154.9	16.3	141.8	14.5	26.7	0.6	25.6	0.5	-30.9	20.0	2.9	S	R34D65
J105535.1+531057	163.8965	2.0	53.18265	2.0	207.9	21.4	183.3	18.6	27.1	0.5	26.1	0.4	38.0	17.6	3.1	C	R34D65
J105537.0+531021	163.90424	2.0	53.17254	2.1	123.1	13.3	93.4	9.9	31.0	1.1	26.6	0.9	-1.0	9.0	3.1	C	R34D65
J105632.5+530026	164.13554	2.0	53.0073	2.0	116.8	12.7	117.8	12.1	25.1	0.6	24.7	0.6	27.5	54.4	2.9	S	R34D65
J105422.9+530807	163.5955	2.0	53.13544	2.0	543.3	54.6	417.1	41.8	31.4	0.3	25.9	0.2	-77.4	0.6	3.0	S	R34D65
J105422.0+530041	163.59206	2.0	53.01163	2.0	743.8	74.7	690.3	69.1	27.4	0.1	24.8	0.1	32.4	1.8	2.8	M	R34D65
J105359.6+525708	163.49872	2.1	52.95239	2.1	62.5	7.7	54.2	6.1	27.7	1.5	26.0	1.3	-21.9	32.2	2.7	S	R34D65
J110119.3+524456	165.33051	2.0	52.74912	2.0	92.2	10.5	85.1	9.0	26.4	1.0	25.6	0.9	71.5	50.5	3.0	S	R34D65
J110113.4+523134	165.30609	2.7	52.52615	2.7	36.3	5.9	23.2	3.8	31.4	4.1	31.2	4.1	-76.3	0.2	2.8	S	R34D65
J105930.3+524137	164.87656	2.0	52.69379	2.0	2590.3	259.1	2419.8	242.0	26.3	0.0	25.4	0.0	-36.4	1.4	3.0	S	R34D65
J105822.1+523948	164.59209	2.0	52.66341	2.0	277.3	28.1	259.9	26.1	25.9	0.3	25.7	0.3	37.5	53.7	2.7	S	R34D65
J105847.6+523608	164.69859	2.0	52.60223	2.0	246.9	25.1	181.6	18.4	32.6	0.6	26.1	0.4	53.0	3.1	2.8	S	R34D65
J110038.2+523620	165.15933	2.0	52.60563	2.0	3072.6	307.3	3015.1	301.5	25.3	0.0	25.2	0.0	55.9	9.0	3.0	S	R34D65
J110025.1+523417	165.10492	2.0	52.57149	2.0	286.5	29.1	265.2	26.7	26.3	0.3	25.6	0.3	76.3	17.0	3.0	S	R34D65
J110114.9+521603	165.31213	2.0	52.26774	2.0	766.6	76.8	713.2	71.4	26.5	0.1	25.4	0.1	-38.8	3.6	2.5	S	R34D65
J105632.1+523355	164.1338	2.3	52.56539	2.5	27.9	4.7	22.7	3.2	31.9	3.6	24.2	2.2	24.7	16.3	2.2	S	R34D65
J105429.3+522923	163.62244	2.2	52.48975	2.2	36.2	5.0	29.1	3.6	29.1	2.3	26.7	1.9	38.8	35.5	2.1	S	R34D65
J105914.8+521025	164.81206	2.0	52.1737	2.0	1262.3	126.5	1132.4	113.3	26.6	0.1	26.2	0.1	49.9	5.6	2.4	M	R34D65
J105734.0+521055	164.39185	2.1	52.18209	2.1	68.7	7.7	54.2	5.9	29.0	1.2	27.3	1.1	13.8	28.1	2.1	S	R34D65
J105554.7+521013	163.97803	2.4	52.1703	2.6	52.6	6.0	24.5	3.2	46.1	4.6	29.1	2.1	37.5	9.1	2.0	S	R34D65
J105500.7+520202	163.75317	2.0	52.03396	2.0	2131.2	213.2	941.2	94.1	45.3	0.1	29.4	0.1	-68.7	0.3	1.9	M	R33D64
J104943.6+525233	162.43201	2.3	52.876	2.5	31.9	4.7	21.7	3.1	33.3	3.6	27.6	2.6	31.5	26.4	2.1	S	R33D65
J104924.2+524959	162.35094	2.0	52.83321	2.0	119.1	12.4	104.7	10.7	27.0	0.5	26.3	0.5	-13.8	30.6	2.0	S	R33D65
J104932.4+524525	162.38522	2.0	52.75706	2.0	753.5	75.4	665.1	66.5	27.3	0.1	26.0	0.1	-25.5	4.4	1.9	C	R33D65
J104929.8+524446	162.37454	2.0	52.7463	2.0	779.3	78.0	700.7	70.1	26.8	0.1	26.0	0.1	-20.9	5.5	1.9	C	R33D65
J105006.3+524320	162.52655	2.5	52.72249	3.2	21.0	3.7	13.8	2.4	37.0	6.2	25.7	3.2	16.9	17.7	1.9	S	R34D65
J104836.6+524615	162.15254	2.0	52.77109	2.0	415.2	41.7	380.9	38.1	26.4	0.1	25.8	0.1	-13.4	10.0	2.0	S	R33D65
